Data Type,Missing#,Missing%,Dups,Cardinality,Count,Min,Max,Average,Standard Deviation,Range,25%,50%,75%,IQR,Entropy,Mode,Skewness,Kurtosis,Outliers,First Value,Second Value,Third Value
int64,0,0.0,0,5,361,1.0,5.0,3.8337950138504153,0.9068071288730969,4.0,3.0,4.0,4.0,1.0,1.7936278701668649,4,-0.8568506912203498,0.7701167682297845,7.0,5.0,4.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.853185595567867,0.8994115924763395,4.0,3.0,4.0,4.0,1.0,1.805460162981014,4,-0.7432292344326633,0.46009050815733543,5.0,5.0,3.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.8781163434903045,0.9077400495393514,4.0,3.0,4.0,4.0,1.0,1.8047992213533,4,-0.7875218293480077,0.48862865226088736,5.0,5.0,4.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.8088642659279777,0.9571538166602622,4.0,3.0,4.0,4.0,1.0,1.8582962614664644,4,-0.8516597712175865,0.5480368334066537,9.0,5.0,3.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.9916897506925206,0.7905256149692036,4.0,4.0,4.0,5.0,1.0,1.6519551052521124,4,-0.5958897589202582,0.31181136358091655,15.0,5.0,3.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.8781163434903045,0.7539472408478914,4.0,3.0,4.0,4.0,1.0,1.6009124728254094,4,-0.537835811435299,0.7112586566959029,2.0,3.0,4.0,5.0
int64,0,0.0,0,5,361,1.0,5.0,3.889196675900277,0.7408101178139959,4.0,4.0,4.0,4.0,0.0,1.576682661778752,4,-0.5210283801622376,0.5551589818571454,155.0,5.0,4.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.858725761772853,0.7145220116553744,4.0,3.0,4.0,4.0,1.0,1.5325951470086805,4,-0.47539480734266787,0.6348655942973997,1.0,3.0,3.0,5.0
int64,0,0.0,0,5,361,1.0,5.0,3.958448753462604,0.8034244956952483,4.0,3.0,4.0,5.0,2.0,1.6868184366883447,4,-0.3770678050467205,-0.23935624731815475,0.0,3.0,4.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.8947368421052633,0.9457507306074072,4.0,3.0,4.0,5.0,2.0,1.8371058541004301,4,-0.8978028858720563,0.696157344868793,0.0,5.0,2.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.3240997229916895,0.9676436620442298,4.0,3.0,3.0,4.0,1.0,1.9680527029464228,3,-0.1141692204592451,-0.2333633167975182,12.0,3.0,3.0,1.0
int64,0,0.0,0,5,361,1.0,5.0,3.8781163434903045,0.9378419659480266,4.0,3.0,4.0,5.0,2.0,1.835308836768126,4,-0.8721930796097135,0.6993556984193177,0.0,3.0,4.0,5.0
